symbol,entry_time,entry_price,pnl_pct,exit_candles,exit_reason,range_position,distribution_score,entry_reason
BTC/USDT,220,92523.9,0.01993863207236172,30,TIMEOUT_PROFIT,0.8258644040790307,60,"upper_zone(0.83),near_top"
BTC/USDT,224,93862.9,0.03567117572544634,30,TIMEOUT_PROFIT,0.8367204301075258,60,"upper_zone(0.84),near_top"
BTC/USDT,228,93643.1,0.029531273526826947,30,TIMEOUT_PROFIT,0.7889757608553688,70,"upper_zone(0.79),near_top,vol_spike"
BTC/USDT,261,91802.2,-0.05000000000000001,11,SL_HIT,0.743394441660018,70,"upper_zone(0.74),near_top,vol_spike"
BTC/USDT,265,91864.9,-0.050000000000000114,7,SL_HIT,0.7532445342505417,70,"upper_zone(0.75),near_top,vol_spike"
BTC/USDT,269,92005.0,-0.05,7,SL_HIT,0.7374740876911652,60,"upper_zone(0.74),near_top"
BTC/USDT,273,95712.4,0.03154032288397312,30,TIMEOUT_PROFIT,0.8628488560452953,60,"upper_zone(0.86),near_top"
BTC/USDT,277,97262.5,0.045110317439917766,30,TIMEOUT_PROFIT,0.9308417060870249,70,"upper_zone(0.93),near_top,vol_spike"
BTC/USDT,281,96588.0,0.05371806021451936,30,TIMEOUT_PROFIT,0.8260647468233191,60,"upper_zone(0.83),near_top"
BTC/USDT,285,95344.1,0.058085436330092804,30,TIMEOUT_PROFIT,0.6284239494660004,60,"upper_zone(0.63),near_top"
BTC/USDT,331,89984.0,0.006511157539118001,30,TIMEOUT_PROFIT,0.6626944639953397,80,"upper_zone(0.66),near_top,rsi_bear,vol_spike"
BTC/USDT,351,88785.5,0.08748244082648629,30,TIMEOUT_PROFIT,0.6627300124960187,90,"upper_zone(0.66),near_top,ema_bear,rsi_bear"
BTC/USDT,355,88406.7,0.09268672679785578,30,TIMEOUT_PROFIT,0.6624138520248317,100,"upper_zone(0.66),near_top,ema_bear,rsi_bear,vol_spike"
